Case,Activity,Timestamp,Department,Resource,System
0,New online application received,2017-03-13 10:00:00.000,Department4,Res3_in_Department4,System3
1,New online application received,2017-03-13 10:04:35.231,Department4,Res1_in_Department4,System3
10,New online application received,2017-03-13 11:01:39.044,Department4,Res4_in_Department4,System3
100,New online application received,2017-03-14 12:58:09.540,Department4,Res3_in_Department4,System3
1000,New online application received,2017-03-29 15:41:56.482,Department4,Res1_in_Department4,System3
1001,New online application received,2017-03-29 15:49:37.007,Department4,Res2_in_Department4,System3
1002,New online application received,2017-03-29 15:59:03.046,Department4,Res3_in_Department4,System3
1003,New online application received,2017-03-29 15:59:23.022,Department4,Res4_in_Department4,System3
1004,New online application received,2017-03-29 16:04:17.598,Department4,Res0_in_Department4,System3
1005,New online application received,2017-03-29 16:11:56.716,Department4,Res3_in_Department4,System3
1006,New online application received,2017-03-29 16:13:34.533,Department4,Res1_in_Department4,System3
1007,New online application received,2017-03-29 16:15:44.835,Department4,Res2_in_Department4,System3
1008,New online application received,2017-03-29 16:19:05.011,Department4,Res3_in_Department4,System3
1009,New online application received,2017-03-29 16:30:58.958,Department4,Res2_in_Department4,System3
101,New online application received,2017-03-14 13:01:41.530,Department4,Res1_in_Department4,System3
1010,New online application received,2017-03-29 16:36:37.582,Department4,Res0_in_Department4,System3
1011,New online application received,2017-03-29 16:40:03.270,Department4,Res4_in_Department4,System3
1012,New online application received,2017-03-29 16:42:03.043,Department4,Res3_in_Department4,System3
1013,New online application received,2017-03-29 16:42:14.248,Department4,Res1_in_Department4,System3
1014,New online application received,2017-03-29 16:54:39.175,Department4,Res1_in_Department4,System3
1015,New online application received,2017-03-29 16:57:59.172,Department4,Res1_in_Department4,System3
1016,New online application received,2017-03-29 16:59:17.007,Department4,Res0_in_Department4,System3
1017,New online application received,2017-03-29 17:10:25.518,Department4,Res3_in_Department4,System3
1018,New online application received,2017-03-29 17:14:53.324,Department4,Res4_in_Department4,System3
1019,New online application received,2017-03-29 17:17:37.358,Department4,Res0_in_Department4,System3
102,New online application received,2017-03-14 13:03:58.625,Department4,Res3_in_Department4,System3
1020,New online application received,2017-03-29 17:20:44.871,Department4,Res0_in_Department4,System3
1021,New online application received,2017-03-29 17:40:27.111,Department4,Res1_in_Department4,System3
1022,New online application received,2017-03-29 17:45:52.175,Department4,Res3_in_Department4,System3
1023,New online application received,2017-03-29 18:10:37.259,Department4,Res4_in_Department4,System3
1024,New online application received,2017-03-29 18:15:06.674,Department4,Res2_in_Department4,System3
1025,New online application received,2017-03-29 18:25:51.736,Department4,Res2_in_Department4,System3
1026,New online application received,2017-03-29 18:26:09.695,Department4,Res3_in_Department4,System3
1027,New online application received,2017-03-29 18:49:42.578,Department4,Res0_in_Department4,System3
1028,New online application received,2017-03-29 18:52:56.238,Department4,Res4_in_Department4,System3
1029,New online application received,2017-03-29 18:59:56.537,Department4,Res2_in_Department4,System3
103,New online application received,2017-03-14 13:18:28.304,Department4,Res2_in_Department4,System3
1030,New online application received,2017-03-30 11:02:37.111,Department4,Res0_in_Department4,System3
1031,New online application received,2017-03-30 11:06:38.668,Department4,Res3_in_Department4,System3
1032,New online application received,2017-03-30 11:07:51.965,Department4,Res3_in_Department4,System3
1033,New online application received,2017-03-30 11:17:49.890,Department4,Res4_in_Department4,System3
1034,New online application received,2017-03-30 11:32:34.022,Department4,Res0_in_Department4,System3
1035,New online application received,2017-03-30 11:32:51.226,Department4,Res0_in_Department4,System3
1036,New online application received,2017-03-30 11:34:15.800,Department4,Res0_in_Department4,System3
1037,New online application received,2017-03-30 11:36:50.042,Department4,Res2_in_Department4,System3
1038,New online application received,2017-03-30 11:36:50.531,Department4,Res4_in_Department4,System3
1039,New online application received,2017-03-30 11:44:12.581,Department4,Res2_in_Department4,System3
104,New online application received,2017-03-14 13:20:29.470,Department4,Res0_in_Department4,System3
1040,New online application received,2017-03-30 11:52:11.972,Department4,Res4_in_Department4,System3
1041,New online application received,2017-03-30 12:00:21.243,Department4,Res4_in_Department4,System3
1042,New online application received,2017-03-30 12:00:45.514,Department4,Res0_in_Department4,System3
1043,New online application received,2017-03-30 12:03:31.771,Department4,Res0_in_Department4,System3
1044,New online application received,2017-03-30 12:26:45.456,Department4,Res3_in_Department4,System3
1045,New online application received,2017-03-30 12:30:13.180,Department4,Res0_in_Department4,System3
1046,New online application received,2017-03-30 12:33:24.008,Department4,Res2_in_Department4,System3
1047,New online application received,2017-03-30 12:38:23.551,Department4,Res3_in_Department4,System3
1048,New online application received,2017-03-30 12:38:44.713,Department4,Res2_in_Department4,System3
1049,New online application received,2017-03-30 12:43:09.219,Department4,Res4_in_Department4,System3
105,New online application received,2017-03-14 13:31:16.183,Department4,Res4_in_Department4,System3
1050,New online application received,2017-03-30 12:57:20.624,Department4,Res3_in_Department4,System3
1051,New online application received,2017-03-30 12:59:38.023,Department4,Res1_in_Department4,System3
1052,New online application received,2017-03-30 13:05:47.796,Department4,Res1_in_Department4,System3
1053,New online application received,2017-03-30 13:13:38.888,Department4,Res2_in_Department4,System3
1054,New online application received,2017-03-30 13:17:47.239,Department4,Res0_in_Department4,System3
1055,New online application received,2017-03-30 13:18:59.080,Department4,Res4_in_Department4,System3
1056,New online application received,2017-03-30 13:25:53.612,Department4,Res2_in_Department4,System3
1057,New online application received,2017-03-30 13:27:59.347,Department4,Res2_in_Department4,System3
1058,New online application received,2017-03-30 13:54:04.201,Department4,Res2_in_Department4,System3
1059,New online application received,2017-03-30 13:56:05.546,Department4,Res4_in_Department4,System3
106,New online application received,2017-03-14 13:39:59.842,Department4,Res4_in_Department4,System3
1060,New online application received,2017-03-30 13:58:17.082,Department4,Res4_in_Department4,System3
1061,New online application received,2017-03-30 14:09:13.877,Department4,Res0_in_Department4,System3
1062,New online application received,2017-03-30 14:13:07.898,Department4,Res1_in_Department4,System3
1063,New online application received,2017-03-30 14:13:13.003,Department4,Res0_in_Department4,System3
1064,New online application received,2017-03-30 14:18:10.807,Department4,Res1_in_Department4,System3
1065,New online application received,2017-03-30 14:20:00.474,Department4,Res0_in_Department4,System3
1066,New online application received,2017-03-30 14:24:43.709,Department4,Res2_in_Department4,System3
1067,New online application received,2017-03-30 14:31:02.431,Department4,Res2_in_Department4,System3
1068,New online application received,2017-03-30 14:32:29.836,Department4,Res0_in_Department4,System3
1069,New online application received,2017-03-30 14:46:00.038,Department4,Res3_in_Department4,System3
107,New online application received,2017-03-14 13:42:51.724,Department4,Res0_in_Department4,System3
1070,New online application received,2017-03-30 14:47:32.107,Department4,Res1_in_Department4,System3
1071,New online application received,2017-03-30 14:53:47.923,Department4,Res0_in_Department4,System3
1072,New online application received,2017-03-30 14:56:44.925,Department4,Res0_in_Department4,System3
1073,New online application received,2017-03-30 14:56:58.870,Department4,Res4_in_Department4,System3
1074,New online application received,2017-03-30 15:02:33.979,Department4,Res2_in_Department4,System3
1075,New online application received,2017-03-30 15:03:24.910,Department4,Res1_in_Department4,System3
1076,New online application received,2017-03-30 15:08:42.510,Department4,Res3_in_Department4,System3
1077,New online application received,2017-03-30 15:13:05.789,Department4,Res4_in_Department4,System3
1078,New online application received,2017-03-30 15:13:15.283,Department4,Res4_in_Department4,System3
1079,New online application received,2017-03-30 15:19:12.964,Department4,Res1_in_Department4,System3
108,New online application received,2017-03-14 13:42:52.643,Department4,Res4_in_Department4,System3
1080,New online application received,2017-03-30 15:20:20.958,Department4,Res3_in_Department4,System3
1081,New online application received,2017-03-30 15:23:54.529,Department4,Res1_in_Department4,System3
1082,New online application received,2017-03-30 15:25:45.282,Department4,Res4_in_Department4,System3
1083,New online application received,2017-03-30 15:26:01.000,Department4,Res4_in_Department4,System3
1084,New online application received,2017-03-30 15:29:10.139,Department4,Res3_in_Department4,System3
1085,New online application received,2017-03-30 15:29:41.413,Department4,Res0_in_Department4,System3
1086,New online application received,2017-03-30 15:39:40.781,Department4,Res2_in_Department4,System3
1087,New online application received,2017-03-30 15:49:28.562,Department4,Res2_in_Department4,System3
1088,New online application received,2017-03-30 16:01:13.145,Department4,Res0_in_Department4,System3
1089,New online application received,2017-03-30 16:03:48.852,Department4,Res3_in_Department4,System3
109,New online application received,2017-03-14 13:54:35.914,Department4,Res2_in_Department4,System3
1090,New online application received,2017-03-30 16:06:06.240,Department4,Res4_in_Department4,System3
1091,New online application received,2017-03-30 16:17:30.558,Department4,Res1_in_Department4,System3
1092,New online application received,2017-03-30 16:31:26.825,Department4,Res1_in_Department4,System3
1093,New online application received,2017-03-30 16:34:10.893,Department4,Res4_in_Department4,System3
1094,New online application received,2017-03-30 16:43:38.590,Department4,Res3_in_Department4,System3
1095,New online application received,2017-03-30 16:54:01.107,Department4,Res1_in_Department4,System3
1096,New online application received,2017-03-30 16:54:46.069,Department4,Res2_in_Department4,System3
1097,New online application received,2017-03-30 17:00:16.586,Department4,Res1_in_Department4,System3
1098,New online application received,2017-03-30 17:02:27.990,Department4,Res2_in_Department4,System3
1099,New online application received,2017-03-30 17:04:56.697,Department4,Res2_in_Department4,System3
11,New online application received,2017-03-13 11:11:11.354,Department4,Res3_in_Department4,System3
110,New online application received,2017-03-14 13:57:56.661,Department4,Res1_in_Department4,System3
1100,New online application received,2017-03-30 17:06:01.785,Department4,Res1_in_Department4,System3
1101,New online application received,2017-03-30 17:13:12.516,Department4,Res2_in_Department4,System3
1102,New online application received,2017-03-30 17:15:15.175,Department4,Res1_in_Department4,System3
1103,New online application received,2017-03-30 17:19:26.359,Department4,Res4_in_Department4,System3
1104,New online application received,2017-03-30 17:20:32.834,Department4,Res0_in_Department4,System3
1105,New online application received,2017-03-30 17:35:55.503,Department4,Res3_in_Department4,System3
1106,New online application received,2017-03-30 17:36:33.748,Department4,Res1_in_Department4,System3
1107,New online application received,2017-03-30 17:46:46.842,Department4,Res4_in_Department4,System3
1108,New online application received,2017-03-30 17:47:05.341,Department4,Res1_in_Department4,System3
1109,New online application received,2017-03-30 17:53:06.933,Department4,Res0_in_Department4,System3
111,New online application received,2017-03-14 14:06:52.611,Department4,Res3_in_Department4,System3
1110,New online application received,2017-03-30 17:53:27.019,Department4,Res1_in_Department4,System3
1111,New online application received,2017-03-30 17:57:15.445,Department4,Res1_in_Department4,System3
1112,New online application received,2017-03-30 17:59:05.710,Department4,Res2_in_Department4,System3
1113,New online application received,2017-03-30 18:11:22.843,Department4,Res4_in_Department4,System3
1114,New online application received,2017-03-30 18:11:34.656,Department4,Res3_in_Department4,System3
1115,New online application received,2017-03-30 18:22:39.479,Department4,Res1_in_Department4,System3
1116,New online application received,2017-03-30 18:24:03.657,Department4,Res3_in_Department4,System3
1117,New online application received,2017-03-30 18:24:27.919,Department4,Res2_in_Department4,System3
1118,New online application received,2017-03-30 18:40:52.571,Department4,Res2_in_Department4,System3
1119,New online application received,2017-03-30 18:51:25.776,Department4,Res2_in_Department4,System3
112,New online application received,2017-03-14 14:15:43.095,Department4,Res4_in_Department4,System3
1120,New online application received,2017-03-30 18:55:31.823,Department4,Res1_in_Department4,System3
1121,New online application received,2017-03-30 18:55:55.015,Department4,Res0_in_Department4,System3
1122,New online application received,2017-03-30 18:59:39.869,Department4,Res3_in_Department4,System3
1123,New online application received,2017-03-31 11:04:31.526,Department4,Res4_in_Department4,System3
1124,New online application received,2017-03-31 11:06:53.279,Department4,Res2_in_Department4,System3
1125,New online application received,2017-03-31 11:13:41.061,Department4,Res2_in_Department4,System3
1126,New online application received,2017-03-31 11:15:18.638,Department4,Res2_in_Department4,System3
1127,New online application received,2017-03-31 11:18:24.959,Department4,Res3_in_Department4,System3
1128,New online application received,2017-03-31 11:20:27.951,Department4,Res0_in_Department4,System3
1129,New online application received,2017-03-31 11:27:03.862,Department4,Res2_in_Department4,System3
113,New online application received,2017-03-14 14:15:49.076,Department4,Res3_in_Department4,System3
1130,New online application received,2017-03-31 11:33:29.239,Department4,Res0_in_Department4,System3
1131,New online application received,2017-03-31 11:43:17.565,Department4,Res2_in_Department4,System3
1132,New online application received,2017-03-31 11:44:56.040,Department4,Res2_in_Department4,System3
1133,New online application received,2017-03-31 11:58:00.649,Department4,Res3_in_Department4,System3
1134,New online application received,2017-03-31 12:11:26.997,Department4,Res3_in_Department4,System3
1135,New online application received,2017-03-31 12:11:43.839,Department4,Res2_in_Department4,System3
1136,New online application received,2017-03-31 12:15:26.270,Department4,Res0_in_Department4,System3
1137,New online application received,2017-03-31 12:16:55.342,Department4,Res1_in_Department4,System3
1138,New online application received,2017-03-31 12:21:27.541,Department4,Res3_in_Department4,System3
1139,New online application received,2017-03-31 12:32:11.323,Department4,Res1_in_Department4,System3
114,New online application received,2017-03-14 14:18:29.597,Department4,Res4_in_Department4,System3
1140,New online application received,2017-03-31 12:44:17.759,Department4,Res3_in_Department4,System3
1141,New online application received,2017-03-31 13:12:19.550,Department4,Res0_in_Department4,System3
1142,New online application received,2017-03-31 13:16:42.323,Department4,Res2_in_Department4,System3
